Siperfaqe Totale,Siperfaqe e Brendshme,Dhoma Gjumi,Kati,Statusi,Lloji,Mobiluar,Shikime,Hipoteka,Gjendja,Qera,Cmimi_per_m2,Vendndodhja,Cmimi_Real,Parashikim
240.0,240.0,4.0,,I Perdorur,Vile,E pa mobiluar,1178.0,Po,Në dispozicion,jo,1583.3333333333333,Durrës - ,380000.0,386353.0
99.0,84.0,2.0,2,Në ndërtim,Apartament,E pa mobiluar,41.0,Në proces certifikimi,Në dispozicion,jo,1532.2222222222222,Durrës - ,151690.0,150931.17230368895
130.0,119.0,4.0,2,I Perdorur,Apartament,Plotesisht i mobiluar,244.0,Po,Në dispozicion,jo,1823.076923076923,Tirana - ,237000.0,238973.49090909094
350.0,195.0,3.0,8,I Perdorur,Tjeter,Plotesisht i mobiluar,680.0,Po,Në dispozicion,jo,1800.0,Tirana - Te Nenkalimi Kodres,630000.0,576568.7738095238
67.0,58.0,1.0,6,I Perdorur,Apartament,E pa mobiluar,529.0,Po,Në dispozicion,jo,1089.55223880597,Durrës - ,73000.0,73024.23155466611
930.0,930.0,1.0,,I Perdorur,Tjeter,Gjysme i mobiluar,128.0,Po,Në dispozicion,jo,209.67741935483872,Durrës - Ish keneta,195000.0,282274.1666666667
65.0,65.0,2.0,,I Perdorur,Apartament,Gjysme i mobiluar,1272.0,Po,Në dispozicion,jo,1461.5384615384614,Durrës - ,95000.0,95509.04177197802
487.0,172.0,5.0,,I Perdorur,Komercial,E pa mobiluar,276.0,Po,Në dispozicion,po,2.2587268993839835,Tirana - Tregu Cam,1100.0,1589.210003731076
206.0,119.0,2.0,8,I Perdorur,Apartament,Plotesisht i mobiluar,345.0,Po,Në dispozicion,jo,1699.0291262135922,Tirana - Kodra e Diellit,350000.0,340760.1011904762
279.0,159.0,2.0,,Në ndërtim,Vile,E pa mobiluar,231.0,Në proces certifikimi,Në dispozicion,jo,2508.9605734767024,Vlorë - Drimadhes,700000.0,683000.2646428571
76.0,35.0,1.0,,Listimet e fundit,Apartament,E pa mobiluar,228.0,Jo,Në dispozicion,jo,1000.0,Durrës - Mali i robit.Golem!,76000.0,77653.91920533958
